07/02/2024 08:55:26:902  INFO - Node Entry | session id:sess8277706 | QatarIVR_UAT:LoadInitValues | Framework | LoadInitValues |  |  | undefined
07/02/2024 08:55:27:165  INFO - Node Entry | session id:sess8277706 | QatarIVR_UAT:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
07/02/2024 08:55:27:227  INFO - Node Entry | session id:sess8277706 | QatarIVR_UAT:DynamicData | Framework | DynamicData |  |  | undefined
07/02/2024 08:55:27:288  INFO - Node Entry | session id:sess8277706 | QatarIVR_UAT:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
07/02/2024 08:55:27:352  INFO - Node Entry | session id:sess8277706 | QatarIVR_UAT:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
07/02/2024 08:55:27:415  INFO - Node Entry | session id:sess8277706 | QatarIVR_UAT:SFConnectBack | Framework | SFConnectBack |  |  | undefined
07/02/2024 08:55:27:477  INFO - Node Entry | session id:sess8277706 | QatarIVR_UAT:connectback-Begin | Framework | connectback-Begin |  |  | undefined
07/02/2024 08:55:27:539  INFO - Node Entry | session id:sess8277706 | QatarIVR_UAT:connectback-preProcessor | Framework | connectback-preProcessor |  |  | undefined
07/02/2024 08:55:27:602  INFO - Node Entry | session id:sess8277706 | QatarIVR_UAT:connectback-getUUIValues | Framework | connectback-getUUIValues |  |  | undefined
07/02/2024 08:55:27:711  INFO - Node Entry | session id:sess8277706 | QatarIVR_UAT:connectback-getPNR | Framework | connectback-getPNR |  |  | undefined
07/02/2024 08:55:27:898  INFO - Node Entry | session id:sess8277706 | QatarIVR_UAT:connectback-getCustDetails | Framework | connectback-getCustDetails |  |  | undefined
07/02/2024 08:55:28:070  INFO - Node Entry | session id:sess8277706 | QatarIVR_UAT:connectback-Enroll | Framework | connectback-Enroll |  |  | undefined
07/02/2024 08:55:28:132  INFO - Node Entry | session id:sess8277706 | QatarIVR_UAT:Enrollment-Begin | Framework | Enrollment-Begin |  |  | undefined
07/02/2024 08:55:28:193  INFO - Node Entry | session id:sess8277706 | QatarIVR_UAT:Enrollment-preProcessor | Framework | Enrollment-preProcessor |  |  | undefined
