28/12/2023 11:42:50:711  INFO - Node Entry | session id:sess3042715 | QatarIVR:Verify-CheckCalibration | Framework | Verify-CheckCalibration |  |  | undefined
28/12/2023 11:42:50:766  INFO - Node Entry | session id:sess3042715 | QatarIVR:Verify-postcalibrationverify | Framework | Verify-postcalibrationverify |  |  | undefined
28/12/2023 11:42:50:817  INFO - Node Entry | session id:sess3042715 | QatarIVR:postverify-Begin | Framework | postverify-Begin |  |  | undefined
28/12/2023 11:42:50:870  INFO - Node Entry | session id:sess3042715 | QatarIVR:postverify-preprocess | Framework | postverify-preprocess |  |  | undefined
28/12/2023 11:42:50:921  INFO - Node Entry | session id:sess3042715 | QatarIVR:postverify-StartSessin | Framework | postverify-StartSessin |  |  | undefined
28/12/2023 11:42:51:009  INFO - Node Entry | session id:sess3042715 | QatarIVR:postverify-preverifyannounce | Framework | postverify-preverifyannounce |  |  | undefined
28/12/2023 11:42:51:077  INFO - Node Entry | session id:sess3042715 | QatarIVR:postverify-authenticateVoice | Framework | postverify-authenticateVoice |  |  | undefined
28/12/2023 11:43:00:677  INFO - Node Entry | session id:sess3042715 | QatarIVR:postverify-vbAuthenticate | Framework | postverify-vbAuthenticate |  |  | undefined
28/12/2023 11:43:00:770  INFO - Node Entry | session id:sess3042715 | QatarIVR:postverify-hostdownannounce | Framework | postverify-hostdownannounce |  |  | undefined
28/12/2023 11:43:00:834  INFO - Node Entry | session id:sess3042715 | QatarIVR:postverify-TRIGGER_SMS_EMAIL_VERIFY_FAILURE | Framework | postverify-TRIGGER_SMS_EMAIL_VERIFY_FAILURE |  |  | undefined
28/12/2023 11:43:00:895  INFO - Node Entry | session id:sess3042715 | QatarIVR:postverify-QR_UPDATE_VB_VERIFY | Framework | postverify-QR_UPDATE_VB_VERIFY |  |  | undefined
28/12/2023 11:43:00:958  INFO - Node Entry | session id:sess3042715 | QatarIVR:postverify-preTransfer | Framework | postverify-preTransfer |  |  | undefined
28/12/2023 11:43:01:021  INFO - Node Entry | session id:sess3042715 | QatarIVR:postverify-Transfer | Framework | postverify-Transfer |  |  | undefined
28/12/2023 11:43:01:084  INFO - Node Entry | session id:sess3042715 | QatarIVR:Verify-prepareTransfer | Framework | Verify-prepareTransfer |  |  | undefined
